"" "ensembl_gene_id" "entrezgene_id"
"352" "ENSG00000176601" 80122
"353" "ENSG00000106006" 3203
"354" "ENSG00000225759" NA
"355" "ENSG00000225724" NA
"356" "ENSG00000139687" 5925
"357" "ENSG00000223350" NA
"358" "ENSG00000232515" NA
"359" "ENSG00000152377" 6695
"360" "ENSG00000286062" NA
"361" "ENSG00000253552" NA
"362" "ENSG00000251391" NA
"363" "ENSG00000211647" NA
"364" "ENSG00000180934" 120796
"365" "ENSG00000267157" NA
"366" "ENSG00000263345" NA
"367" "ENSG00000007062" 8842
"368" "ENSG00000211648" NA
"369" "ENSG00000175390" 8665
"370" "ENSG00000212123" 163154
"371" "ENSG00000141258" 9905
"372" "ENSG00000225364" NA
"373" "ENSG00000235253" NA
"374" "ENSG00000282690" NA
"375" "ENSG00000274429" 9231
"376" "ENSG00000173954" NA
"377" "ENSG00000267857" NA
"378" "ENSG00000232549" NA
"379" "ENSG00000282616" NA
"380" "ENSG00000105997" 3200
"381" "ENSG00000282504" NA
"382" "ENSG00000282794" NA
"383" "ENSG00000197381" 104
"384" "ENSG00000118473" 84251
"385" "ENSG00000282337" NA
"386" "ENSG00000282397" NA
"387" "ENSG00000242902" NA
"388" "ENSG00000231409" NA
"389" "ENSG00000128524" 9296
"390" "ENSG00000221988" 9374
"391" "ENSG00000021776" 9716
"392" "ENSG00000277602" NA
"393" "ENSG00000101849" 6907
"394" "ENSG00000230370" NA
"395" "ENSG00000285330" NA
"396" "ENSG00000282451" NA
"397" "ENSG00000123739" 81579
"398" "ENSG00000282082" NA
"399" "ENSG00000150712" 54545
"400" "ENSG00000272899" 100130705
"401" "ENSG00000282691" NA
"402" "ENSG00000101132" 5203
"403" "ENSG00000254642" NA
"404" "ENSG00000105372" 6223
"405" "ENSG00000282586" NA
"406" "ENSG00000198336" 4635
"407" "ENSG00000273433" NA
"408" "ENSG00000278606" 3805
"409" "ENSG00000278606" 112268354
"410" "ENSG00000128591" 2318
"411" "ENSG00000106633" 2645
"412" "ENSG00000250125" NA
"413" "ENSG00000248423" NA
"414" "ENSG00000124104" 90203
"415" "ENSG00000261153" NA
"416" "ENSG00000170502" 53343
"417" "ENSG00000248779" NA
"418" "ENSG00000251141" NA
"419" "ENSG00000237371" NA
"420" "ENSG00000173812" 10209
"421" "ENSG00000171703" 6919
"422" "ENSG00000279845" NA
"423" "ENSG00000164167" 11157
"424" "ENSG00000177025" 147685
"425" "ENSG00000168765" 2948
"426" "ENSG00000254925" NA
"427" "ENSG00000223680" 780
"428" "ENSG00000255215" NA
"429" "ENSG00000167625" 116115
"430" "ENSG00000219592" NA
"431" "ENSG00000237388" 403253
"432" "ENSG00000234052" NA
"433" "ENSG00000255113" NA
"434" "ENSG00000129472" 84932
"435" "ENSG00000255304" NA
"436" "ENSG00000125743" 6633
"437" "ENSG00000286229" NA
"438" "ENSG00000271178" NA
"439" "ENSG00000204990" NA
"440" "ENSG00000099203" 11018
"441" "ENSG00000231651" NA
"442" "ENSG00000261624" NA
"443" "ENSG00000231573" NA
"444" "ENSG00000221821" 441150
"445" "ENSG00000259680" NA
"446" "ENSG00000261115" 100507421
"447" "ENSG00000236629" NA
"448" "ENSG00000270924" NA
"449" "ENSG00000176840" NA
"450" "ENSG00000234331" 102725019
"451" "ENSG00000275255" NA
"452" "ENSG00000282414" NA
"453" "ENSG00000282099" NA
"454" "ENSG00000261778" NA
"455" "ENSG00000274476" NA
"456" "ENSG00000282560" NA
"457" "ENSG00000231596" NA
"458" "ENSG00000261629" NA
"459" "ENSG00000274236" NA
"460" "ENSG00000285841" NA
"461" "ENSG00000275351" 3809
"462" "ENSG00000282821" NA
"463" "ENSG00000281980" NA
"464" "ENSG00000225298" NA
"465" "ENSG00000234539" 1388
"466" "ENSG00000011478" 54814
"467" "ENSG00000258785" NA
"468" "ENSG00000282018" NA
